latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp
43.33437,24.04654,325.7,0.43,0.46,2012-10-08,1042,N,VIIRS,n,1,294.3,2.1
43.35528,24.03754,300.1,0.39,0.36,2013-09-06,0017,N,VIIRS,n,1,281.1,0.7
43.3579,24.03696,341.2,0.57,0.43,2013-09-06,1142,N,VIIRS,n,1,306.8,7.1
43.35524,24.03645,339.4,0.57,0.43,2013-09-06,1142,N,VIIRS,n,1,308.7,9.8
43.35671,24.03126,298.3,0.53,0.42,2013-09-06,2358,N,VIIRS,n,1,282.2,0.6
43.38966,24.05356,352.7,0.42,0.45,2013-09-09,1045,N,VIIRS,n,1,314.9,11.9
43.3937,24.05197,348.2,0.42,0.45,2013-09-09,1045,N,VIIRS,n,1,315,21.3
43.39258,24.04699,340.7,0.42,0.45,2013-09-09,1045,N,VIIRS,n,1,312.4,11.1
43.40125,24.04209,367,0.78,0.78,2013-09-17,0955,N,VIIRS,h,1,295.2,27.8
43.39801,24.03302,340,0.78,0.78,2013-09-17,0955,N,VIIRS,n,1,290.6,13.9
43.40305,24.04198,367,0.78,0.78,2013-09-17,0955,N,VIIRS,h,1,292.5,17.4
43.39977,24.03296,353.5,0.78,0.78,2013-09-17,0955,N,VIIRS,n,1,291.3,17.4
43.36074,24.04037,334.8,0.49,0.4,2013-09-17,1135,N,VIIRS,n,1,300.6,4
43.36446,24.03965,345.6,0.49,0.4,2013-09-17,1135,N,VIIRS,n,1,295.8,4
43.36238,24.04555,331.6,0.49,0.4,2013-09-17,1135,N,VIIRS,n,1,286.1,5.7
43.36172,24.03947,337,0.49,0.4,2013-09-17,1135,N,VIIRS,n,1,301.7,5.7
43.37978,24.03571,297.5,0.46,0.39,2013-09-28,0005,N,VIIRS,n,1,277.5,0.7
43.38265,24.04501,330.1,0.43,0.38,2013-09-28,1129,N,VIIRS,l,1,300.1,2.6
43.38615,24.04421,346,0.43,0.38,2013-09-28,1129,N,VIIRS,n,1,297.8,5.8
43.38548,24.03884,354.5,0.43,0.38,2013-09-28,1129,N,VIIRS,n,1,304.3,18
43.34186,24.0271,326.6,0.39,0.36,2013-09-29,1110,N,VIIRS,n,1,295.5,0.9
43.34515,24.02608,353.2,0.39,0.36,2013-09-29,1110,N,VIIRS,n,1,301.3,5.9
43.34436,24.02132,333.2,0.39,0.36,2013-09-29,1110,N,VIIRS,n,1,297.3,5.9
43.34845,24.02506,347.7,0.39,0.36,2013-09-29,1110,N,VIIRS,n,1,297.4,5.9
43.39647,24.0422,334.9,0.34,0.56,2014-07-27,1033,N,VIIRS,n,1,281.1,9.9
43.39871,24.0503,367,0.34,0.56,2014-07-27,1033,N,VIIRS,l,1,281.6,19.2
