latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
44.03288,26.61276,305.3,0.46,0.64,2018-09-01,0112,N,VIIRS,n,1.0NRT,288.1,1.6,N
44.03326,26.61557,316.1,0.46,0.64,2018-09-01,0112,N,VIIRS,n,1.0NRT,288.5,1.6,N
43.08614,24.17189,302.7,0.38,0.59,2018-09-01,0112,N,VIIRS,n,1.0NRT,286.6,0.7,N
42.71624,24.16937,319.6,0.39,0.59,2018-09-01,0112,N,VIIRS,n,1.0NRT,286.1,3.5,N
42.71493,24.17393,314.5,0.39,0.59,2018-09-01,0112,N,VIIRS,n,1.0NRT,285.7,1.9,N
42.71504,24.16995,327.7,0.39,0.59,2018-09-01,0112,N,VIIRS,n,1.0NRT,286.7,4.3,N
42.71375,24.17453,305,0.39,0.59,2018-09-01,0112,N,VIIRS,n,1.0NRT,285.3,2.1,N
43.79201,27.13479,339.2,0.39,0.36,2018-09-01,1054,N,VIIRS,n,1.0NRT,309,2.8,D
42.41405,25.9021,341.1,0.42,0.38,2018-09-01,1054,N,VIIRS,l,1.0NRT,313.4,4.6,D
42.41313,25.89702,336.4,0.42,0.38,2018-09-01,1054,N,VIIRS,l,1.0NRT,309.8,4.6,D
42.41654,25.89589,335.5,0.42,0.38,2018-09-01,1054,N,VIIRS,l,1.0NRT,310.2,6.3,D
43.51588,28.33947,349.3,0.38,0.36,2018-09-01,1054,N,VIIRS,n,1.0NRT,306.6,8.1,D
43.75692,28.09662,367,0.38,0.36,2018-09-01,1054,N,VIIRS,l,1.0NRT,329.8,86.9,D
43.7602,28.09564,343.5,0.38,0.36,2018-09-01,1054,N,VIIRS,n,1.0NRT,301.9,6.7,D
43.79281,27.1396,335.9,0.39,0.36,2018-09-01,1054,N,VIIRS,l,1.0NRT,308,2.9,D
43.373,24.00533,330,0.47,0.4,2018-09-01,1054,N,VIIRS,l,1.0NRT,300.1,3.5,D
43.65272,25.46426,336.5,0.42,0.38,2018-09-01,1054,N,VIIRS,l,1.0NRT,308.2,6.2,D
43.91448,26.6044,344.6,0.4,0.37,2018-09-01,1054,N,VIIRS,n,1.0NRT,308.7,5.5,D
43.9178,26.60336,339.3,0.4,0.37,2018-09-01,1054,N,VIIRS,n,1.0NRT,309.4,5,D
43.43251,23.51192,335.8,0.49,0.4,2018-09-01,1054,N,VIIRS,n,1.0NRT,303.9,4.1,D
43.43317,23.5095,336.3,0.49,0.4,2018-09-01,1054,N,VIIRS,n,1.0NRT,303.1,4.1,D
43.76778,23.95967,334.7,0.47,0.4,2018-09-01,1054,N,VIIRS,n,1.0NRT,303.3,18.9,D
43.84061,23.69091,339.6,0.48,0.4,2018-09-01,1054,N,VIIRS,n,1.0NRT,302.6,6.1,D
43.8732,22.54935,333.3,0.53,0.42,2018-09-01,1054,N,VIIRS,n,1.0NRT,301.2,7,D
43.08826,24.16917,296.4,0.62,0.71,2018-09-01,2312,N,VIIRS,n,1.0NRT,286.3,0.8,N
43.08591,24.17405,297.6,0.62,0.71,2018-09-01,2312,N,VIIRS,n,1.0NRT,286.7,0.8,N
42.7162,24.16569,303.3,0.61,0.71,2018-09-01,2312,N,VIIRS,n,1.0NRT,285.8,1.6,N
42.71612,24.17385,306.6,0.61,0.71,2018-09-01,2312,N,VIIRS,n,1.0NRT,284.9,1.6,N
43.08839,24.17534,299.4,0.46,0.47,2018-09-02,0054,N,VIIRS,n,1.0NRT,288.3,0.3,N
42.71637,24.1715,344,0.46,0.47,2018-09-02,0054,N,VIIRS,n,1.0NRT,289.3,6.5,N
