latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
42.64241,22.95799,325.5,0.44,0.38,2018-10-01,1130,N,VIIRS,n,1.0NRT,293.1,1.9,D
42.86904,22.96317,345,0.44,0.38,2018-10-01,1130,N,VIIRS,n,1.0NRT,297.1,14.8,D
42.71485,24.17236,296.1,0.65,0.73,2018-10-02,0130,N,VIIRS,n,1.0NRT,279.8,0.9,N
42.71452,24.17006,332.3,0.38,0.36,2018-10-02,1112,N,VIIRS,n,1.0NRT,290.4,4.8,D
43.76098,23.68114,335.5,0.38,0.36,2018-10-02,1112,N,VIIRS,n,1.0NRT,292.9,4.7,D
43.77477,23.54846,341.4,0.38,0.36,2018-10-02,1112,N,VIIRS,n,1.0NRT,291.5,4.5,D
43.81441,23.22745,299.2,0.33,0.55,2018-10-03,0112,N,VIIRS,n,1.0NRT,280.1,0.5,N
43.79354,28.10091,346.9,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,297.8,4.5,D
41.43753,23.25479,325.9,0.55,0.42,2018-10-03,1054,N,VIIRS,n,1.0NRT,296.8,2.7,D
41.43737,23.25349,327.9,0.55,0.42,2018-10-03,1054,N,VIIRS,n,1.0NRT,296.3,1.4,D
43.51688,28.11376,334.8,0.39,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,294.7,2.5,D
43.56782,28.24845,330.2,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,296.1,2.8,D
43.57332,27.99969,332.1,0.39,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,295.4,3.9,D
43.60846,28.15742,325.8,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,295.2,2.2,D
43.61174,28.15645,344,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,296.7,8,D
43.67651,28.33002,333.3,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,298.7,5.9,D
43.67879,28.32622,327.4,0.38,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,295.3,1.9,D
43.66063,28.14378,325,0.38,0.36,2018-10-03,1054,N,VIIRS,l,1.0NRT,295.3,1.2,D
43.62399,27.91199,334.6,0.39,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,295.5,3,D
43.67997,27.93985,329.3,0.39,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,293.7,1.5,D
43.88673,27.91178,345.1,0.39,0.36,2018-10-03,1054,N,VIIRS,n,1.0NRT,294.8,13.4,D
43.3485,24.34627,326.5,0.46,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,284.6,3.6,D
43.33964,24.14438,339.1,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,287.9,3.9,D
43.30858,23.98538,332.6,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,285.6,4.2,D
43.34429,24.14874,326.1,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,286.1,3.9,D
43.31213,23.98394,332.3,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,285.6,4.2,D
43.46328,24.36809,333.7,0.46,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,288.9,6.5,D
43.43607,24.14975,340.4,0.47,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,290.1,4.7,D
43.8134,26.13468,325.7,0.41,0.37,2018-10-03,1054,N,VIIRS,n,1.0NRT,288.8,1,D
43.49104,24.23793,336.6,0.46,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,289,5.7,D
43.48996,24.2323,334.1,0.46,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,290.1,4.3,D
43.37317,23.43465,335.1,0.5,0.41,2018-10-03,1054,N,VIIRS,n,1.0NRT,293.5,3.9,D
43.60862,24.39546,335.2,0.45,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,299.6,5.6,D
43.61098,24.27016,331.7,0.46,0.39,2018-10-03,1054,N,VIIRS,n,1.0NRT,297.8,4.4,D
43.59844,24.00707,339.7,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,299.6,3.5,D
43.602,24.00577,337.8,0.47,0.4,2018-10-03,1054,N,VIIRS,n,1.0NRT,299.7,3.5,D
