X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,log(area+1),sin(area)
7,5,mar,fri,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0076100917184779935,0.007581281046080948,0.0076100182641880235
7,4,oct,tue,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0015998792194387714,0.0015986007760686665,0.0015998785369267796
7,4,oct,sat,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.004798113929855987,0.004786639669780795,0.00479809551959617
8,6,mar,fri,91.7,33.3,77.5,9.0,8.3,97,4.0,0.2,0.006451597867231602,0.0064308753906807915,0.006451553111391376
8,6,mar,sun,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.007522279867524221,0.007494128606620889,0.00752220892674034
8,6,aug,sun,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0031433640818332165,0.0031384340415304525,0.003143358905376416
8,6,aug,mon,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.008673997041112198,0.00863659406204264,0.008673888272165017
8,6,aug,mon,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0076754482283947845,0.00764614183989314,0.007675372865302439
8,6,sep,tue,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0014830078170462793,0.0014819092469447782,0.001483007273446812
7,5,sep,sat,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0024733881080899,0.0024703343181584933,0.002473385586204067
7,5,sep,sat,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.008132601528382891,0.008099710132648633,0.008132511881375854
7,5,sep,sat,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.004539968341818112,0.004529693771292326,0.004539952746049778
6,5,aug,fri,63.5,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0003903546256367567,0.00039027845709105303,0.00039035461572326294
6,5,sep,mon,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0019588680383256004,0.0019569519581538832,0.0019588667855761905
6,5,sep,wed,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0038133924577089494,0.00380613990872031,0.003813383215347611
6,5,sep,fri,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.00649053350744625,0.006469560695750031,0.006490487936397455
